orderID ;   Samplesheet_GeneSeek; nSamples      ;  submitted    ;   run     ;  Einzelgen    ;  complementary orderID    ;Kommentar      
        ;   0319_3.txt          ;   797         ;   19.03.19    ;           ;               ;                           ;
        ;   0319_2.txt          ;   695         ;   12.03.19    ;           ;               ;                           ;
        ;   0319_1.txt          ;   763         ;   05.03.19    ;   0619    ;               ;                           ;
        ;   0319_5.txt          ;    73         ;   14.03.19    ;           ;               ;                           ;DNA Transfer BVCH VHL
        ;   0219_6.txt          ;  1063         ;   14.03.19    ;           ;               ;                           ;3. Limousin Transfer
        ;   0219_4.txt          ;   712         ;   26.02.19    ;   0619    ;               ;                           ;
        ;   0219_5.txt          ;  1001         ;   25.02.19    ;   0619    ;               ;                           ;2. Limousin Transfer
        ;   0219_3.txt          ;  1109         ;   19.02.19    ;   0519    ;   I           ;                           ;
        ;   0219_2.txt          ;   523         ;   12.02.19    ;   0519    ;   I           ;                           ;
        ;   0119_7.txt          ;  1000         ;   07.02.19    ;   0419    ;   II          ;                           ;1. Limousin Transfer
        ;   0219_1.txt          ;   592         ;   05.02.19    ;   0419    ;   II          ;                           ;
        ;   0119_4.txt          ;   838         ;   29.01.19    ;   0419    ;   II          ;                           ;
        ;   0119_6.txt          ;    90         ;   25.01.19    ;   0419    ;   II          ;                           ;redo on 150K chip SINGLE recessives prediction
        ;   0119_3.txt          ;   935         ;   22.01.19    ;   0319    ;   III         ;                           ;
        ;   0119_2.txt          ;   463         ;   15.01.19    ;   0319    ;   III         ;                           ;
        ;   0119_5.txt          ;     2         ;   10.01.19    ;   0419    ;               ;                           ; redo wtih 150K chip due to MFC from LD-test, Batch-ID nicht in LIMS
        ;   0119_1.txt          ;  1086         ;   08.01.19    ;   0219    ;   III         ;                           ;
        ;   1218_4.txt          ;  1038         ;   28.12.18    ;   0219    ;   III         ;                           ;
        ;   1218_5.txt          ;     7         ;   18.12.18    ;   0119    ;   IIII        ;                           ; VHL transfer BVCH
        ;   1218_3.txt          ;  1124         ;   18.12.18    ;   0119    ;   IIII        ;                           ;
        ;   1218_2.txt          ;   883         ;   11.12.18    ;   0119    ;   IIII        ;                           ; Agrocsope crossbred animals included
        ;   1218_1.txt          ;  1016         ;   04.12.18    ;   2918    ;   IIII        ;                           ;
        ;   1118_4.txt          ;   584         ;   27.11.18    ;   2818    ;   IIII        ;                           ;
        ;   1118_5.txt          ;     4         ;   22.11.18    ;   2818    ;   IIII        ;                           ; VHL transfer SHB
        ;   1118_3.txt          ;  1026         ;   20.11.18    ;   2818    ;   IIII        ;                           ;
        ;   1118_2.txt          ;   629         ;   13.11.18    ;   2818    ;   IIII        ;                           ;
        ;   1118_1.txt          ;   687         ;   06.11.18    ;   2618    ;   IIII        ;                           ;
        ;   1018_5.txt          ;   450         ;   30.10.18    ;   2618    ;   IIII        ;                           ;
        ;   1018_4.txt          ;   512         ;   08.11.18    ;   2618    ;   IIII        ;                           ;Verzoegerung US Zoll. normaler Versandtermin 23.10.18
        ;   1018_3.txt          ;   494         ;   16.10.18    ;   2518    ;   IIII        ;                           ;
        ;   1018_2.txt          ;   663         ;   09.10.18    ;   2318    ;   IIII        ;                           ;
        ;   1018_6.txt          ;     5         ;   05.10.18    ;   2318    ;   IIII        ;                           ;VHL
        ;   1018_1.txt          ;   552         ;   02.10.18    ;   2318    ;   IIII        ;                           ;erster Samplesheet Export mit Dexter Bulldog
        ;   0918_4.txt          ;   530         ;   25.09.18    ;   2218    ;   IIII        ;                           ;
        ;   0918_3.txt          ;   571         ;   18.09.18    ;   2218    ;   IIII        ;                           ;
        ;   0918_2.txt          ;   378         ;   11.09.18    ;   2118    ;   IIII        ;                           ;
        ;   0918_1.txt          ;   452         ;   04.09.18    ;   2118    ;   IIII        ;
        ;   0818_4.txt          ;   384         ;   28.08.18    ;   2118    ;   IIII        ;                           ;
        ;   0818_3.txt          ;   595         ;   21.08.18    ;   2018    ;   IIII        ;
        ;   0818_2.txt          ;   335         ;   14.08.18    ;   2018    ;   IIII        ;
        ;   0818_1.txt          ;   352         ;   07.08.28    ;   1918    ;   IIII        ;                           ;
        ;   0718_5.txt          ;   314         ;   31.07.18    ;   1818    ;   IIII        ;                           ;
        ;   0718_4.txt          ;   342         ;   24.07.18    ;   1818    ;   IIII        ;                           ;
        ;   0718_3.txt          ;   270         ;   17.07.18    ;   1818    ;   IIII        ;                           ;
        ;   0718_2.txt          ;   484         ;   10.07.18    ;   1618    ;   IIII        ;                           ;
        ;   0718_6.txt          ;    64         ;   09.07.18    ;   1618    ;   IIII        ;                           ;VHL Transfer SHB & BVCH
        ;   0718_1.txt          ;   304         ;   03.07.18    ;   1618    ;   IIII        ;                           ;
        ;   0618_4.txt          ;   397         ;   26.06.18    ;   1518    ;   IIII        ;                           ;
        ;   0618_3.txt          ;   405         ;   19.06.18    ;   1518    ;   IIII        ;                           ;
        ;   0618_2.txt          ;   721         ;   13.06.18    ;   1518    ;   IIII        ;                           ;NEW samplesheet format !!!!!!
        ;   0618_1.txt          ;   343         ;   05.06.18    ;   1418    ;   IIII        ;                           ;
